ich,I
du,you
das,the
ist,Is
nicht,Not
und,and
sie,you
was,What
es,it
ja,Yes
die,the
wir,we
der,the
ein,on
mir,me
so,so
dass,that
mit,With
aber,but
zu,to
nein,No
wie,as
doch,but
er,he
in,in
mich,me
dir,to you
dich,you
wenn,if
hast,have
hat,Has
noch,still
auf,on
mal,times
den,the
war,Was
dann,then
auch,also
eine,a
da,there
ihr,her
für,For
nur,just
bin,Bin
gut,Good
hier,here
habe,have
jetzt,now
schon,beautiful
sind,are
oh,Oh
an,at
von,from
uns,us
denn,because
einen,One
meine,my
haben,to have
mein,my
ok,OK
weiß,White
kann,Can
wirklich,for real
hab,Hab
na,hello
sich,themselves
also,so
bist,Are
als,as
will,want
aus,out
wird,becomes
sehr,very
wieder,again
sagen,say
hey,Hey
hi,Hi
bitte,You're welcome
dem,The
oder,or
sein,be
alles,everything
euch,you
einfach,easy
ganz,all
nichts,Nothing
weißt,Know
keine,no
ach,Oh
immer,always
im,in the
muss,got to
ihn,him
danke,Thank you
mehr,more
werde,will
tut,Does
soll,should
geht,The
wieso,how so
würde,would
weil,because
gehen,go
gott,God
gar,at all
vielleicht,maybe
bei,At the same time
willst,want
werden,become
leid,suffering
mann,man
viel,a lot of
sehen,see
machen,do
um,around
nach,after
man,Man
wollte,wanted
nun,now
deine,yours
nie,never
vor,in front
los,Come on
gesagt,Said
heute,today
frau,Mrs
tun,do
gern,gladly
wo,Where
ihm,him
kannst,can
wer,who
lhr,Your
über,about
hallo,Hello
wäre,would
einem,One
dein,your
etwas,something
diese,these
alle,all
einer,One
schön,beautiful
klar,clear
können,can
finde,find
'ne,a
wollen,want
hatte,would have
damit,in order to
baby,infant
wissen,knowledge
genau,I agree
zum,to the
he,He
kein,no
ihnen,them
wohl,well
meinen,mean
gerade,just
warum,Why
natürlich,Naturally
hätte,would have
liebe,love
macht,power
gleich,equal
hör,Listen
leute,People
gemacht,made
bis,to
dieser,this
essen,eat
zusammen,together
müssen,have to
möchte,would like to
toll,Great
kommt,Comes
musst,Have to
komm,come over
wirst,Will
am,at the
beide,both
zeit,Time
ob,if
weg,path
sollte,should
nett,kind
keinen,No
recht,Law
sicher,for sure
dachte,Thought
reden,talk
meiner,My
vater,father
gibt,gives
waren,were
sag,say
paar,pair
passiert,happens
habt,have
freund,friend
glaube,faith
sagte,Said
kommen,come
warte,wait
könnte,could
eigentlich,actually
morgen,tomorrow
bestimmt,certainly
werd,Will
sollten,should
ins,Ins
lassen,to let
richtig,correct
gute,quality
eben,just
leben,Life
darf,may
meinem,my
warst,Were
tag,Day
frage,question
anderen,Other
wurde,has been
her,here
bisschen,little
lieber,Dear
jemand,someone
geht's,It goes
erst,first
ordnung,order
besser,better
seit,since
gehört,belongs
abend,Eve
freunde,Friends
'n,on
lass,let
gesehen,seen
hört,Is heard
deinen,Your
sieht,Looks
mach,Mach
kennen,know
vergessen,to forget
dabei,At the same time
tja,Well
dieses,this
geh,Go
diesen,This
wow,Wow
unglaublich,incredible
siehst,see
super,great
zur,To the
wahr,true
geld,money
machst,Make
hin,down
lange,Long
frauen,Women
job,job
kind,child
fragen,ask
darüber,about that
sieh,See
meinst,Mean
wohnung,flat
verstehe,understand
allein,alone
würdest,Would
steht,stands
kerl,Guy
seid,are
geben,give
nacht,night
davon,from that
sei,be
zwar,though
weiter,continue
mutter,mother
sagt,Says
etwa,about
durch,by
wisst,Know
seine,his
german,German
ohne,without
deiner,yours
bekommen,get
ab,from
idee,idea
heiraten,marry
daran,It
dafür,for this
spielen,play
rein,purely
klasse,class
heißt,called
wann,when
verrückt,crazy
einmal,once
solltest,Should
problem,problem
hören,hear
viele,lots
kinder,children
freundin,girlfriend
unsere,our
sonst,otherwise
wär's,It would be
zwei,two
wusste,knew
völlig,completely
denke,Think
gefühl,feeling
wegen,because of
vielen,Many of them
spaß,fun
sache,Thing
kleine,Small
fertig,finished
des,of
ihre,your
helfen,help
hatten,had
schwester,sister
kriegen,get
gehe,Go
konnte,could
gedacht,Thought
haus,House
geller,Geller
finden,Find
bleiben,stay
würden,Would
furchtbar,awful
schnell,fast
letzte,last
dank,thanks
angst,anxiety
zurück,back
sprechen,speak
menschen,People
dazu,to
sollen,should
irgendwie,somehow
entschuldige,Excuse me
dr,Dr
warten,waiting
vom,From
lhre,Your
glaub,Believe
wär,Would be
diesem,This
bett,bed
überhaupt,At all
welt,world
treffen,to meet
hause,House
beim,at the
unser,our
spiel,game
nehmen,to take
mädchen,girl
mr,Mr
gefallen,like
eltern,parents
egal,no matter
typ,Type
sehe,See
bringen,To bring
sachen,stuff
mom,Mom
halt,stop
deswegen,Therefore
bloß,just
group,Group
ernst,serious
seht,look
raus,Out
kaffee,coffee
gestern,yesterday
sex,sex
namen,Names
witzig,funny
selbst,even
andere,other
verheiratet,married
media,Media
liegt,lies
glück,happiness
getan,Done
ben,The
beiden,both
unter,under
iich,Iich
endlich,Finally
stimmt,Right
party,party
moment,moment
leider,Unfortunately
sagst,Say
komme,Come
gefällt,like
au,Au
arbeit,job
gegen,against
drin,In it
kopf,head
wollt,want
weit,far
könnten,Could
falsch,not correct
denken,think
mag,like
sogar,even
ganze,whole
eins,one
jemanden,someone
gib,Give
zimmer,room
telefon,phone
sdh,Sdh
erzählt,tells
darauf,thereon
jahren,Years
hättest,Had
dran,Turn
wichtig,important
irgendwas,anything
große,size
später,later
nämlich,namely
güte,quality
brauche,need
bedeutet,Means
kleinen,Small
gibt's,There
fassen,To take
denkst,Think
bevor,before
arbeiten,work
wohnen,Living
war's,It was
junge,Boy
chance,chance
brauchen,need
augenblick,moment
vorstellen,imagine
verstehen,understand
fall,case
deinem,Yours
zwischen,in between
ziemlich,quite
wiedersehen,To look back
läuft,running
lernen,to learn
großartig,Great
'nen,one
welche,Which
trinken,drink
stehen,stand
schwer,heavy
oft,often
darum,therefore
augen,eyes
ahnung,idea
süß,sweet
niemand,nobody
hand,hand
findest,find
bing,Bing
sage,legend
lustig,funny
kenne,know
jeder,everyone
gewesen,been
anrufen,call
nummer,number
mache,make
früher,earlier
find,Find
anders,different
sofort,immediately
glücklich,happy
ging,Went
wolltest,Wanted
woher,from where
wahnsinnig,Insane
versuchen,try
tür,door
schluss,ending
kam,came
tisch,table
geworden,Has become
dort,there
unbedingt,absolutely
kommst,Come
komisch,funny
jahr,year
halten,hold
glauben,believe
wau,Wow
mrs,Mrs
eines,one
drauf,On it
ding,thing
anderes,other
wen,whom
schlafen,sleep
männer,Men
jungs,guys
jahre,Years
iund,Iund
geschichte,story
film,Movie
brauchst,Need
ihren,their
gehst,Go
beziehung,relationship
bald,soon
ruhig,calm
neue,new
kennst,Know
hund,dog
guten,Good
gesicht,face
mensch,human
hätten,Have
hattest,Had
erzählen,tell
arzt,doctor
leicht,light
grund,reason
beste,best
richtige,right one
ich's,I ... it
gekommen,Has come
fahren,drive
ende,The End
darfst,May
vorhin,earlier
ring,ring
rede,speech
lässt,The
lieb,Dear
küssen,kiss
genug,enough
witz,joke
stunden,Hours
seinen,His
schlecht,bad
schatz,treasure
rolle,role
lust,Pleasure
hochzeit,wedding
entschuldigen,to apologize
tolle,amazing
name,Surname
minuten,Minutes
ganzen,Whole
neuen,New
lieben,love
kurz,short
hab's,Have it
gewonnen,Won
wort,word
ehrlich,Honestly
wollten,wanted to
tot,dead
sexy,sexy
sah,saw
niemals,No way
manchmal,sometimes
geburtstag,birthday
miteinander,together
jeden,Every
hilfe,Help
fest,fixed
damals,back then
wenig,little
unterhalten,to chat
uhr,Clock
passieren,happen
könntest,Can
eure,your
dad,Dad
cool,cool
anfangen,to begin
zeigen,demonstrate
während,while
werdet,Will be
verstehst,Understand
könnt,can
gesprochen,spoken
tanzen,dance
jedenfalls,in any case
geschlafen,Slept
dürfen,allowed
schlüssel,key
kaufen,to buy
hol,Hol
findet,Is found
woche,week
schwanger,pregnant
möglich,possible
kriege,Wars
keiner,No one
hinter,Behind
glaubst,Believe
gefunden,found
fantastisch,fantastic
denkt,thinks
büro,office
allen,All
zuerst,first
tust,Do
kann's,It can
guter,goods
gefragt,asked
gab,gave
fand,found
vorbei,past
verloren,lost
seh,See
ruf,call
rach,Rude
letzten,The last
date,Date
böse,angry
besten,The best
art,Art
vergiss,Forget
spät,late
restaurant,restaurant
heißen,be called
einzige,only one
du's,You
musste,had to
hintern,butt
gelernt,Learned
echt,real
draußen,outside
daddy,Daddy
bob,bob
ansehen,look at
verstanden,Roger that
reicht,enough
nehme,Take
hältst,hold
gruppe,group
gegangen,went
buch,book
würd,would
wartet,Is waiting
unserer,Our
peinlich,embarrassing
je,Each
ihrem,Her
getroffen,met
aufhören,stop
unsinn,nonsense
seinem,His
oben,above
nimm,take
möchtest,Would like
kaum,barely
fast,nearly
verliebt,in love
seiner,his
schwierig,difficult
schrecklich,dreadful
schlimm,bad
new,New
mark,mark
kriegst,War
hübsch,pretty
hä,huh?
hoffe,Hope
großer,greater
fühle,Feel
denen,To whom
braucht,Needs
verabredet,Agreed
tu,Tu
suchen,search
singen,to sing
schauspieler,actor
runter,Down
nachher,Afterwards
funktioniert,is working
froh,glad
familie,family
dollar,dollar
by,By
alt,old
ah,Ah
wem,whom
verlassen,leave
trotzdem,Nevertheless
tragen,carry
ständig,Constantly
spielt,Plays
kleines,Small
kapiert,Got it
interessiert,interested
großen,Great
geküsst,Kissed
erzähl,Tell
bruder,brothers
antrag,Request
angerufen,Called
wären,Would be
vorher,before
versteh,Understand
sorgen,to care
sorge,Care
sollst,Shall
nächste,next
nennen,call
klingt,Sounds
kleiner,smaller
geschafft,made
erfahren,find out
entschuldigung,Excuse me
affen,Monkeys
absolut,absolute
wärst,Would
verdammt,damned
subtitles,Subtitles
stück,piece
sohn,son
mist,Mist
wir's,we s
wenigstens,at least
wahnsinn,madness
stellen,put
schuld,fault
redest,Speak
nackt,naked
merkwürdig,strange
meinte,Said
jungen,boys
irgendwann,Sometime
geschenke,Gifts
fehler,error
aufs,onto
york,York
versuch,attempt
sitzen,sit
sekunde,second
platz,place
obwohl,although
laufen,to run
kriegt,gets
geschenk,present
genauso,just like that
gegeben,given
ehe,marriage
all,Alles
wahrscheinlich,probably
nötig,necessary
lang,long
haare,hair
gerne,with pleasure
gemeint,meant
fällt,falls
drei,three
drake,Drake
dinge,Things
denk,Think
'ner,one
zeig,show
wochen,Weeks
thanksgiving,Thanksgiving
mögen,to like
meinung,opinion
gekauft,Bought
erste,first
dauernd,Lasting
besonderes,Special
versucht,tries
stunde,hour
stell,Pos
stadt,city
seite,page
sauer,angry
perfekt,Perfect
passt,Fits
paolo,Paolo
nächsten,Next
mund,mouth
holen,pick up
hoffentlich,hopefully
hasse,Hate
fühlen,feel
früh,early
frei,free
bekommt,gets
aha,Aha
witze,Jokes
wagen,dare
ungefähr,approximately
toller,Great
sowieso,anyway
singt,Sings
lachen,laugh
foto,photo
falls,if
blödsinn,Stupid
blöde,Stupid
übrigens,by the way
ziehen,pull
wüsste,Would know
wurden,Have been
weh,sore
tochter,daughter
stolz,proud
schwul,humid
